[2025-09-30 12:00:02] Analisis 1INCH_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis AAVE_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis ACH_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis ADA_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis AIXBT_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis AI_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis ALGO_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis ALICE_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis ALT_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis AMP_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis ANIME_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis ANKR_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis APE_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis ARB_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis ARKM_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis ATOM_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis AVAX_IDR: Tidak cocok. (1 Beli, 2 Netral, 0 Risky)
[2025-09-30 12:00:02] Analisis AXL_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis AXS_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis BADGER_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis BAND_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis BAT_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis BICO_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis BIO_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis BLUR_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis BMT_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis BNB_IDR: Tidak cocok. (1 Beli, 2 Netral, 0 Risky)
[2025-09-30 12:00:02] Analisis BOME_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis BOND_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis C98_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis CATI_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis CELR_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis CGPT_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis CHR_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis CHZ_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis COMP_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis COTI_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis COW_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis CRV_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis CTSI_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis CVC_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis CVX_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis CYBER_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis DENT_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis DEXE_IDR: Tidak cocok. (1 Beli, 2 Netral, 0 Risky)
[2025-09-30 12:00:02] Analisis DGB_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis DOGS_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis DUSK_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis EGLD_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis EIGEN_IDR: Tidak cocok. (1 Beli, 2 Netral, 0 Risky)
[2025-09-30 12:00:02] Analisis ELF_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
[2025-09-30 12:00:02] Analisis ENJ_IDR: Tidak cocok. (0 Beli, 2 Netral, 1 Risky)
